
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Latitude,Longitude,Speed (m/s),
0.0400,-0.0320,0.4835,0.8602,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.0400,-0.0313,0.4857,0.8736,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.25974998,-122.75407909,0.00000000,
0.0400,-0.0291,0.4869,0.8878,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.25974998,-122.75407909,0.00000000,
0.0400,-0.0247,0.4852,0.8993,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.25974998,-122.75407909,0.00000000,
0.0410,-0.0237,0.4847,0.9090,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.25974998,-122.75407909,0.00000000,
0.0410,-0.0200,0.4844,0.9164,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.25974998,-122.75407909,0.00000000,
0.0410,-0.0173,0.4818,0.9229,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.25974998,-122.75407909,0.00000000,
0.0410,-0.0132,0.4800,0.9259,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.25974998,-122.75407909,0.00000000,
0.0410,-0.0095,0.4771,0.9256,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.25974998,-122.75407909,0.00000000,
0.0410,-0.0083,0.4756,0.9242,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.25974998,-122.75407909,0.00000000,
0.0420,-0.0090,0.4776,0.9190,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.25974998,-122.75407909,0.00000000,
0.0580,-0.0103,0.4783,0.9124,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.25974998,-122.75407909,0.00000000,
0.0590,-0.0112,0.4796,0.9071,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.25974998,-122.75407909,0.00000000,
0.0610,-0.0110,0.4818,0.8997,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.25974998,-122.75407909,0.00000000,
0.0620,-0.0105,0.4830,0.8924,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.25974998,-122.75407909,0.00000000,
0.0630,-0.0120,0.4842,0.8851,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.25974998,-122.75407909,0.00000000,
0.0630,-0.0112,0.4857,0.8780,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.25974998,-122.75407909,0.00000000,
0.0640,-0.0103,0.4864,0.8704,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.25974998,-122.75407909,0.00000000,
0.0640,-0.0100,0.4849,0.8633,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.25974998,-122.75407909,0.00000000,
0.0650,-0.0103,0.4869,0.8582,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.25974998,-122.75407909,0.00000000,
0.0650,-0.0093,0.4871,0.8523,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.25974998,-122.75407909,0.00000000,
0.0660,-0.0088,0.4874,0.8489,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.25974998,-122.75407909,0.00000000,
0.0710,-0.0083,0.4886,0.8460,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.25974998,-122.75407909,0.00000000,
0.0720,-0.0081,0.4891,0.8428,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.25974998,-122.75407909,0.00000000,
0.0730,-0.0095,0.4896,0.8399,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.25974998,-122.75407909,0.00000000,
0.0790,-0.0078,0.4903,0.8389,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.25974998,-122.75407909,0.00000000,
0.0790,-0.0064,0.4893,0.8370,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.25974998,-122.75407909,0.00000000,
0.0810,-0.0056,0.4893,0.8367,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.25974998,-122.75407909,0.00000000,
0.0840,-0.0066,0.4864,0.8362,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.25974998,-122.75407909,0.00000000,
0.0870,-0.0071,0.4869,0.8352,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.25974998,-122.75407909,0.00000000,
0.0900,-0.0073,0.4859,0.8348,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.25974998,-122.75407909,0.00000000,
0.0910,-0.0090,0.4849,0.8355,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.25974998,-122.75407909,0.00000000,
0.0940,-0.0088,0.4842,0.8370,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.25974998,-122.75407909,0.00000000,
0.0970,-0.0110,0.4832,0.8384,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.25974998,-122.75407909,0.00000000,
0.0990,-0.0125,0.4827,0.8414,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.25974998,-122.75407909,0.00000000,
0.1000,-0.0125,0.4827,0.8414,0.0000,0.0000,0.0000,0.0669,-0.0422,-0.0243,49.25974998,-122.75407909,0.00000000,
0.1010,-0.0122,0.4830,0.8436,0.0000,0.0000,0.0000,0.0669,-0.0422,-0.0243,49.25974998,-122.75407909,0.00000000,
0.1050,-0.0142,0.4805,0.8465,0.0000,0.0000,0.0000,0.0669,-0.0422,-0.0243,49.25974998,-122.75407909,0.00000000,
0.1070,-0.0139,0.4798,0.8494,0.0000,0.0000,0.0000,0.0669,-0.0422,-0.0243,49.25974998,-122.75407909,0.00000000,
0.1100,-0.0142,0.4783,0.8511,0.0000,0.0000,0.0000,0.0669,-0.0422,-0.0243,49.25974998,-122.75407909,0.00000000,
0.1130,-0.0149,0.4776,0.8516,0.0000,0.0000,0.0000,0.0669,-0.0422,-0.0243,49.25974998,-122.75407909,0.00000000,
0.1150,-0.0149,0.4778,0.8531,0.0000,0.0000,0.0000,0.0669,-0.0422,-0.0243,49.25974998,-122.75407909,0.00000000,
0.1170,-0.0144,0.4771,0.8558,0.0000,0.0000,0.0000,0.0669,-0.0422,-0.0243,49.25974998,-122.75407909,0.00000000,
0.1200,-0.0139,0.4783,0.8582,0.0000,0.0000,0.0000,0.0669,-0.0422,-0.0243,49.25974998,-122.75407909,0.00000000,
0.1220,-0.0151,0.4778,0.8611,0.0000,0.0000,0.0000,0.0669,-0.0422,-0.0243,49.25974998,-122.75407909,0.00000000,
0.1250,-0.0164,0.4774,0.8641,0.0000,0.0000,0.0000,0.0669,-0.0422,-0.0243,49.25974998,-122.75407909,0.00000000,
0.1280,-0.0183,0.4800,0.8677,0.0000,0.0000,0.0000,0.0669,-0.0422,-0.0243,49.25974998,-122.75407909,0.00000000,
0.1300,-0.0188,0.4808,0.8699,0.0000,0.0000,0.0000,0.0669,-0.0422,-0.0243,49.25974998,-122.75407909,0.00000000,
0.1330,-0.0193,0.4774,0.8734,0.0000,0.0000,0.0000,0.0669,-0.0422,-0.0243,49.25974998,-122.75407909,0.00000000,
0.1350,-0.0178,0.4778,0.8760,0.0000,0.0000,0.0000,0.0669,-0.0422,-0.0243,49.25974998,-122.75407909,0.00000000,
0.1380,-0.0178,0.4771,0.8782,0.0000,0.0000,0.0000,0.0669,-0.0422,-0.0243,49.25974998,-122.75407909,0.00000000,
0.1400,-0.0188,0.4774,0.8812,0.0000,0.0000,0.0000,0.0669,-0.0422,-0.0243,49.25974998,-122.75407909,0.00000000,
0.1430,-0.0195,0.4752,0.8856,0.0000,0.0000,0.0000,0.0669,-0.0422,-0.0243,49.25974998,-122.75407909,0.00000000,
0.1460,-0.0183,0.4739,0.8880,0.0000,0.0000,0.0000,0.0669,-0.0422,-0.0243,49.25974998,-122.75407909,0.00000000,
0.1480,-0.0164,0.4744,0.8909,0.0000,0.0000,0.0000,0.0669,-0.0422,-0.0243,49.25974998,-122.75407909,0.00000000,
0.1500,-0.0149,0.4752,0.8934,0.0000,0.0000,0.0000,0.0669,-0.0422,-0.0243,49.25974998,-122.75407909,0.00000000,
0.1530,-0.0120,0.4732,0.8966,0.0000,0.0000,0.0000,0.0669,-0.0422,-0.0243,49.25974998,-122.75407909,0.00000000,
0.1550,-0.0103,0.4730,0.8983,0.0000,0.0000,0.0000,0.0669,-0.0422,-0.0243,49.25974998,-122.75407909,0.00000000,
0.1580,-0.0093,0.4708,0.8985,0.0000,0.0000,0.0000,0.0669,-0.0422,-0.0243,49.25974998,-122.75407909,0.00000000,
0.1600,-0.0095,0.4690,0.8990,0.0000,0.0000,0.0000,0.0669,-0.0422,-0.0243,49.25974998,-122.75407909,0.00000000,
0.1630,-0.0083,0.4686,0.9002,0.0000,0.0000,0.0000,0.0669,-0.0422,-0.0243,49.25974998,-122.75407909,0.00000000,
0.1650,-0.0088,0.4676,0.9007,0.0000,0.0000,0.0000,0.0669,-0.0422,-0.0243,49.25974998,-122.75407909,0.00000000,
0.1680,-0.0093,0.4661,0.9017,0.0000,0.0000,0.0000,0.0669,-0.0422,-0.0243,49.25974998,-122.75407909,0.00000000,
0.1710,-0.0093,0.4661,0.9017,0.0000,0.0000,0.0000,-0.0488,-0.0240,-0.0082,49.25974998,-122.75407909,0.00000000,
0.1720,-0.0095,0.4695,0.9024,0.0000,0.0000,0.0000,-0.0488,-0.0240,-0.0082,49.25974998,-122.75407909,0.00000000,
0.1730,-0.0103,0.4715,0.9032,0.0000,0.0000,0.0000,-0.0488,-0.0240,-0.0082,49.25974998,-122.75407909,0.00000000,
0.1750,-0.0088,0.4727,0.9029,0.0000,0.0000,0.0000,-0.0488,-0.0240,-0.0082,49.25974998,-122.75407909,0.00000000,
0.1780,-0.0064,0.4730,0.9019,0.0000,0.0000,0.0000,-0.0488,-0.0240,-0.0082,49.25974998,-122.75407909,0.00000000,
0.1810,-0.0066,0.4737,0.9015,0.0000,0.0000,0.0000,-0.0488,-0.0240,-0.0082,49.25974998,-122.75407909,0.00000000,
0.1820,-0.0066,0.4737,0.9015,0.0000,0.0000,0.0000,-0.0488,-0.0240,-0.0082,49.25974998,-122.75407909,0.00000000,
0.1830,-0.0073,0.4742,0.9005,0.0000,0.0000,0.0000,-0.0488,-0.0240,-0.0082,49.25974998,-122.75407909,0.00000000,
0.1900,-0.0083,0.4747,0.9002,0.0000,0.0000,0.0000,-0.0488,-0.0240,-0.0082,49.25974998,-122.75407909,0.00000000,
0.1910,-0.0090,0.4754,0.9000,0.0000,0.0000,0.0000,-0.0488,-0.0240,-0.0082,49.25974998,-122.75407909,0.00000000,
0.1920,-0.0103,0.4759,0.8983,0.0000,0.0000,0.0000,-0.0488,-0.0240,-0.0082,49.25974998,-122.75407909,0.00000000,
0.1940,-0.0117,0.4752,0.8963,0.0000,0.0000,0.0000,-0.0488,-0.0240,-0.0082,49.25974998,-122.75407909,0.00000000,
0.1960,-0.0112,0.4761,0.8939,0.0000,0.0000,0.0000,-0.0488,-0.0240,-0.0082,49.25974998,-122.75407909,0.00000000,
0.2010,-0.0137,0.4778,0.8909,0.0000,0.0000,0.0000,-0.0488,-0.0240,-0.0082,49.25974998,-122.75407909,0.00000000,
0.2020,-0.0120,0.4783,0.8892,0.0000,0.0000,0.0000,-0.0488,-0.0240,-0.0082,49.25974998,-122.75407909,0.00000000,
0.2030,-0.0122,0.4803,0.8873,0.0000,0.0000,0.0000,-0.0488,-0.0240,-0.0082,49.25974998,-122.75407909,0.00000000,
0.2060,-0.0139,0.4827,0.8856,0.0000,0.0000,0.0000,-0.0488,-0.0240,-0.0082,49.25974998,-122.75407909,0.00000000,
0.2090,-0.0151,0.4832,0.8841,0.0000,0.0000,0.0000,-0.0488,-0.0240,-0.0082,49.25974998,-122.75407909,0.00000000,
0.2130,-0.0147,0.4827,0.8819,0.0000,0.0000,0.0000,-0.0488,-0.0240,-0.0082,49.25974998,-122.75407909,0.00000000,
0.2140,-0.0139,0.4847,0.8790,0.0000,0.0000,0.0000,-0.0488,-0.0240,-0.0082,49.25974998,-122.75407909,0.00000000,
0.2160,-0.0139,0.4861,0.8756,0.0000,0.0000,0.0000,-0.0488,-0.0240,-0.0082,49.25974998,-122.75407909,0.00000000,
0.2190,-0.0156,0.4857,0.8736,0.0000,0.0000,0.0000,-0.0488,-0.0240,-0.0082,49.25974998,-122.75407909,0.00000000,
0.2210,-0.0161,0.4871,0.8704,0.0000,0.0000,0.0000,-0.0488,-0.0240,-0.0082,49.25974998,-122.75407909,0.00000000,
0.2240,-0.0166,0.4864,0.8692,0.0000,0.0000,0.0000,-0.0488,-0.0240,-0.0082,49.25974998,-122.75407909,0.00000000,
0.2270,-0.0169,0.4857,0.8682,0.0000,0.0000,0.0000,-0.0488,-0.0240,-0.0082,49.25974998,-122.75407909,0.00000000,
0.2300,-0.0188,0.4859,0.8680,0.0000,0.0000,0.0000,-0.0488,-0.0240,-0.0082,49.25974998,-122.75407909,0.00000000,
0.2320,-0.0169,0.4874,0.8690,0.0000,0.0000,0.0000,-0.0488,-0.0240,-0.0082,49.25974998,-122.75407909,0.00000000,
0.2340,-0.0178,0.4879,0.8694,0.0000,0.0000,0.0000,-0.0488,-0.0240,-0.0082,49.25974998,-122.75407909,0.00000000,
0.2370,-0.0195,0.4879,0.8692,0.0000,0.0000,0.0000,-0.0488,-0.0240,-0.0082,49.25974998,-122.75407909,0.00000000,
0.2390,-0.0198,0.4879,0.8709,0.0000,0.0000,0.0000,-0.0488,-0.0240,-0.0082,49.25974998,-122.75407909,0.00000000,
0.2410,-0.0188,0.4864,0.8714,0.0000,0.0000,0.0000,-0.0488,-0.0240,-0.0082,49.25974998,-122.75407909,0.00000000,
0.2420,-0.0188,0.4864,0.8714,0.0000,0.0000,0.0000,-0.0025,0.0146,-0.0229,49.25974998,-122.75407909,0.00000000,
0.2440,-0.0191,0.4854,0.8716,0.0000,0.0000,0.0000,-0.0025,0.0146,-0.0229,49.25974998,-122.75407909,0.00000000,
0.2470,-0.0191,0.4854,0.8753,0.0000,0.0000,0.0000,-0.0025,0.0146,-0.0229,49.25974998,-122.75407909,0.00000000,
0.2500,-0.0166,0.4852,0.8770,0.0000,0.0000,0.0000,-0.0025,0.0146,-0.0229,49.25974998,-122.75407909,0.00000000,
0.2510,-0.0171,0.4839,0.8792,0.0000,0.0000,0.0000,-0.0025,0.0146,-0.0229,49.25974998,-122.75407909,0.00000000,
0.2520,-0.0171,0.4839,0.8792,-0.0235,-0.0384,0.1321,-0.0025,0.0146,-0.0229,49.25974998,-122.75407909,0.00000000,
0.2540,-0.0169,0.4847,0.8817,-0.0235,-0.0384,0.1321,-0.0025,0.0146,-0.0229,49.25974998,-122.75407909,0.00000000,
0.2570,-0.0151,0.4842,0.8844,-0.0235,-0.0384,0.1321,-0.0025,0.0146,-0.0229,49.25974998,-122.75407909,0.00000000,
0.2600,-0.0120,0.4837,0.8846,-0.0235,-0.0384,0.1321,-0.0025,0.0146,-0.0229,49.25974998,-122.75407909,0.00000000,
0.2620,-0.0112,0.4827,0.8841,-0.0235,-0.0384,0.1321,-0.0025,0.0146,-0.0229,49.25974998,-122.75407909,0.00000000,
0.2640,-0.0100,0.4822,0.8851,-0.0235,-0.0384,0.1321,-0.0025,0.0146,-0.0229,49.25974998,-122.75407909,0.00000000,
0.2670,-0.0088,0.4818,0.8873,-0.0235,-0.0384,0.1321,-0.0025,0.0146,-0.0229,49.25974998,-122.75407909,0.00000000,
0.2700,-0.0066,0.4810,0.8885,-0.0235,-0.0384,0.1321,-0.0025,0.0146,-0.0229,49.25974998,-122.75407909,0.00000000,
0.2730,-0.0064,0.4810,0.8892,-0.0235,-0.0384,0.1321,-0.0025,0.0146,-0.0229,49.25974998,-122.75407909,0.00000000,
0.2740,-0.0059,0.4810,0.8912,-0.0235,-0.0384,0.1321,-0.0025,0.0146,-0.0229,49.25974998,-122.75407909,0.00000000,
0.2780,-0.0068,0.4803,0.8919,-0.0235,-0.0384,0.1321,-0.0025,0.0146,-0.0229,49.25974998,-122.75407909,0.00000000,
0.2800,-0.0073,0.4800,0.8929,-0.0235,-0.0384,0.1321,-0.0025,0.0146,-0.0229,49.25974998,-122.75407909,0.00000000,
0.2820,-0.0078,0.4798,0.8917,-0.0235,-0.0384,0.1321,-0.0025,0.0146,-0.0229,49.25974998,-122.75407909,0.00000000,
0.2840,-0.0081,0.4786,0.8922,-0.0235,-0.0384,0.1321,-0.0025,0.0146,-0.0229,49.25974998,-122.75407909,0.00000000,
0.2870,-0.0071,0.4769,0.8931,-0.0235,-0.0384,0.1321,-0.0025,0.0146,-0.0229,49.25974998,-122.75407909,0.00000000,
0.2900,-0.0061,0.4766,0.8934,-0.0235,-0.0384,0.1321,-0.0025,0.0146,-0.0229,49.25974998,-122.75407909,0.00000000,
0.2930,-0.0083,0.4761,0.8953,-0.0235,-0.0384,0.1321,-0.0025,0.0146,-0.0229,49.25974998,-122.75407909,0.00000000,
0.2960,-0.0095,0.4776,0.8941,-0.0235,-0.0384,0.1321,-0.0025,0.0146,-0.0229,49.25974998,-122.75407909,0.00000000,
0.2980,-0.0073,0.4783,0.8934,-0.0235,-0.0384,0.1321,-0.0025,0.0146,-0.0229,49.25974998,-122.75407909,0.00000000,
0.3000,-0.0068,0.4764,0.8931,-0.0235,-0.0384,0.1321,-0.0025,0.0146,-0.0229,49.25974998,-122.75407909,0.00000000,
0.3020,-0.0066,0.4766,0.8929,-0.0235,-0.0384,0.1321,-0.0025,0.0146,-0.0229,49.25974998,-122.75407909,0.00000000,
0.3050,-0.0054,0.4778,0.8924,-0.0235,-0.0384,0.1321,-0.0025,0.0146,-0.0229,49.25974998,-122.75407909,0.00000000,
0.3070,-0.0064,0.4761,0.8922,-0.0235,-0.0384,0.1321,-0.0025,0.0146,-0.0229,49.25974998,-122.75407909,0.00000000,
0.3100,-0.0064,0.4776,0.8922,-0.0235,-0.0384,0.1321,-0.0025,0.0146,-0.0229,49.25974998,-122.75407909,0.00000000,
0.3130,-0.0068,0.4771,0.8917,-0.0235,-0.0384,0.1321,-0.0025,0.0146,-0.0229,49.25974998,-122.75407909,0.00000000,
0.3140,-0.0068,0.4771,0.8917,-0.0235,-0.0384,0.1321,-0.0069,0.0010,-0.0135,49.25974998,-122.75407909,0.00000000,
0.3150,-0.0061,0.4774,0.8922,-0.0235,-0.0384,0.1321,-0.0069,0.0010,-0.0135,49.25974998,-122.75407909,0.00000000,
0.3180,-0.0064,0.4771,0.8929,-0.0235,-0.0384,0.1321,-0.0069,0.0010,-0.0135,49.25974998,-122.75407909,0.00000000,
0.3200,-0.0078,0.4781,0.8919,-0.0235,-0.0384,0.1321,-0.0069,0.0010,-0.0135,49.25974998,-122.75407909,0.00000000,
0.3220,-0.0068,0.4776,0.8917,-0.0235,-0.0384,0.1321,-0.0069,0.0010,-0.0135,49.25974998,-122.75407909,0.00000000,
0.3230,-0.0068,0.4776,0.8917,-0.0130,0.0304,0.0662,-0.0069,0.0010,-0.0135,49.25974998,-122.75407909,0.00000000,
0.3250,-0.0078,0.4774,0.8907,-0.0130,0.0304,0.0662,-0.0069,0.0010,-0.0135,49.25974998,-122.75407909,0.00000000,
0.3280,-0.0076,0.4769,0.8875,-0.0130,0.0304,0.0662,-0.0069,0.0010,-0.0135,49.25974998,-122.75407909,0.00000000,
0.3310,-0.0090,0.4769,0.8851,-0.0130,0.0304,0.0662,-0.0069,0.0010,-0.0135,49.25974998,-122.75407909,0.00000000,
0.3330,-0.0117,0.4756,0.8831,-0.0130,0.0304,0.0662,-0.0069,0.0010,-0.0135,49.25974998,-122.75407909,0.00000000,
0.3350,-0.0098,0.4761,0.8817,-0.0130,0.0304,0.0662,-0.0069,0.0010,-0.0135,49.25974998,-122.75407909,0.00000000,
0.3380,-0.0117,0.4778,0.8804,-0.0130,0.0304,0.0662,-0.0069,0.0010,-0.0135,49.25974998,-122.75407909,0.00000000,
0.3400,-0.0100,0.4754,0.8812,-0.0130,0.0304,0.0662,-0.0069,0.0010,-0.0135,49.25974998,-122.75407909,0.00000000,
0.3440,-0.0093,0.4776,0.8800,-0.0130,0.0304,0.0662,-0.0069,0.0010,-0.0135,49.25974998,-122.75407909,0.00000000,
0.3480,-0.0100,0.4776,0.8790,-0.0130,0.0304,0.0662,-0.0069,0.0010,-0.0135,49.25974998,-122.75407909,0.00000000,
0.3490,-0.0088,0.4803,0.8795,-0.0130,0.0304,0.0662,-0.0069,0.0010,-0.0135,49.25974998,-122.75407909,0.00000000,
0.3510,-0.0086,0.4813,0.8792,-0.0130,0.0304,0.0662,-0.0069,0.0010,-0.0135,49.25974998,-122.75407909,0.00000000,
0.3530,-0.0095,0.4808,0.8807,-0.0130,0.0304,0.0662,-0.0069,0.0010,-0.0135,49.25974998,-122.75407909,0.00000000,
0.3560,-0.0105,0.4822,0.8814,-0.0130,0.0304,0.0662,-0.0069,0.0010,-0.0135,49.25974998,-122.75407909,0.00000000,
0.3580,-0.0095,0.4827,0.8836,-0.0130,0.0304,0.0662,-0.0069,0.0010,-0.0135,49.25974998,-122.75407909,0.00000000,
0.3610,-0.0088,0.4825,0.8856,-0.0130,0.0304,0.0662,-0.0069,0.0010,-0.0135,49.25974998,-122.75407909,0.00000000,
0.3640,-0.0090,0.4844,0.8865,-0.0130,0.0304,0.0662,-0.0069,0.0010,-0.0135,49.25974998,-122.75407909,0.00000000,
0.3660,-0.0103,0.4827,0.8875,-0.0130,0.0304,0.0662,-0.0069,0.0010,-0.0135,49.25974998,-122.75407909,0.00000000,
0.3680,-0.0110,0.4808,0.8875,-0.0130,0.0304,0.0662,-0.0069,0.0010,-0.0135,49.25974998,-122.75407909,0.00000000,
0.3720,-0.0103,0.4800,0.8858,-0.0130,0.0304,0.0662,-0.0069,0.0010,-0.0135,49.25974998,-122.75407909,0.00000000,
0.3730,-0.0105,0.4800,0.8846,-0.0130,0.0304,0.0662,-0.0069,0.0010,-0.0135,49.25974998,-122.75407909,0.00000000,
0.3760,-0.0125,0.4798,0.8834,-0.0130,0.0304,0.0662,-0.0069,0.0010,-0.0135,49.25974998,-122.75407909,0.00000000,
0.3780,-0.0127,0.4796,0.8822,-0.0130,0.0304,0.0662,-0.0069,0.0010,-0.0135,49.25974998,-122.75407909,0.00000000,
0.3820,-0.0120,0.4798,0.8809,-0.0130,0.0304,0.0662,-0.0069,0.0010,-0.0135,49.25974998,-122.75407909,0.00000000,
0.3840,-0.0137,0.4793,0.8807,-0.0130,0.0304,0.0662,-0.0069,0.0010,-0.0135,49.25974998,-122.75407909,0.00000000,
0.3850,-0.0137,0.4793,0.8807,-0.0130,0.0304,0.0662,0.0175,0.0036,-0.0182,49.25974998,-122.75407909,0.00000000,
0.3860,-0.0129,0.4769,0.8780,-0.0130,0.0304,0.0662,0.0175,0.0036,-0.0182,49.25974998,-122.75407909,0.00000000,
0.3890,-0.0125,0.4756,0.8765,-0.0130,0.0304,0.0662,0.0175,0.0036,-0.0182,49.25974998,-122.75407909,0.00000000,
0.3910,-0.0132,0.4774,0.8751,-0.0130,0.0304,0.0662,0.0175,0.0036,-0.0182,49.25974998,-122.75407909,0.00000000,
0.3970,-0.0137,0.4764,0.8748,-0.0130,0.0304,0.0662,0.0175,0.0036,-0.0182,49.25974998,-122.75407909,0.00000000,
0.4010,-0.0137,0.4764,0.8748,0.0452,-0.0025,0.1210,0.0175,0.0036,-0.0182,49.25974998,-122.75407909,0.00000000,
0.4020,-0.0125,0.4764,0.8743,0.0452,-0.0025,0.1210,0.0175,0.0036,-0.0182,49.25974998,-122.75407909,0.00000000,
0.4020,-0.0122,0.4764,0.8748,0.0452,-0.0025,0.1210,0.0175,0.0036,-0.0182,49.25974998,-122.75407909,0.00000000,
0.4030,-0.0103,0.4752,0.8763,0.0452,-0.0025,0.1210,0.0175,0.0036,-0.0182,49.25974998,-122.75407909,0.00000000,
0.4060,-0.0100,0.4742,0.8760,0.0452,-0.0025,0.1210,0.0175,0.0036,-0.0182,49.25974998,-122.75407909,0.00000000,
0.4070,-0.0117,0.4739,0.8765,0.0452,-0.0025,0.1210,0.0175,0.0036,-0.0182,49.25974998,-122.75407909,0.00000000,
0.4110,-0.0110,0.4737,0.8780,0.0452,-0.0025,0.1210,0.0175,0.0036,-0.0182,49.25974998,-122.75407909,0.00000000,
0.4120,-0.0107,0.4754,0.8792,0.0452,-0.0025,0.1210,0.0175,0.0036,-0.0182,49.25974998,-122.75407909,0.00000000,
0.4160,-0.0093,0.4744,0.8809,0.0452,-0.0025,0.1210,0.0175,0.0036,-0.0182,49.25974998,-122.75407909,0.00000000,
0.4180,-0.0081,0.4754,0.8814,0.0452,-0.0025,0.1210,0.0175,0.0036,-0.0182,49.25974998,-122.75407909,0.00000000,
0.4190,-0.0086,0.4766,0.8839,0.0452,-0.0025,0.1210,0.0175,0.0036,-0.0182,49.25975831,-122.75405848,0.00000000,
0.4220,-0.0083,0.4761,0.8868,0.0452,-0.0025,0.1210,0.0175,0.0036,-0.0182,49.25975831,-122.75405848,0.00000000,
0.4240,-0.0086,0.4766,0.8892,0.0452,-0.0025,0.1210,0.0175,0.0036,-0.0182,49.25975831,-122.75405848,0.00000000,
0.4270,-0.0095,0.4764,0.8895,0.0452,-0.0025,0.1210,0.0175,0.0036,-0.0182,49.25975831,-122.75405848,0.00000000,
0.4300,-0.0090,0.4764,0.8924,0.0452,-0.0025,0.1210,0.0175,0.0036,-0.0182,49.25975831,-122.75405848,0.00000000,
0.4320,-0.0100,0.4754,0.8931,0.0452,-0.0025,0.1210,0.0175,0.0036,-0.0182,49.25975831,-122.75405848,0.00000000,
0.4340,-0.0090,0.4749,0.8934,0.0452,-0.0025,0.1210,0.0175,0.0036,-0.0182,49.25975831,-122.75405848,0.00000000,
0.4390,-0.0078,0.4734,0.8941,0.0452,-0.0025,0.1210,0.0175,0.0036,-0.0182,49.25975831,-122.75405848,0.00000000,
0.4400,-0.0083,0.4737,0.8936,0.0452,-0.0025,0.1210,0.0175,0.0036,-0.0182,49.25975831,-122.75405848,0.00000000,
0.4420,-0.0095,0.4732,0.8922,0.0452,-0.0025,0.1210,0.0175,0.0036,-0.0182,49.25975831,-122.75405848,0.00000000,
0.4450,-0.0112,0.4732,0.8917,0.0452,-0.0025,0.1210,0.0175,0.0036,-0.0182,49.25975831,-122.75405848,0.00000000,
0.4480,-0.0105,0.4742,0.8922,0.0452,-0.0025,0.1210,0.0175,0.0036,-0.0182,49.25975831,-122.75405848,0.00000000,
0.4500,-0.0115,0.4734,0.8924,0.0452,-0.0025,0.1210,0.0175,0.0036,-0.0182,49.25975831,-122.75405848,0.00000000,
0.4530,-0.0122,0.4747,0.8936,0.0452,-0.0025,0.1210,0.0175,0.0036,-0.0182,49.25975831,-122.75405848,0.00000000,
0.4550,-0.0122,0.4747,0.8936,0.0452,-0.0025,0.1210,0.0061,-0.0001,-0.0081,49.25975831,-122.75405848,0.00000000,
0.4560,-0.0139,0.4742,0.8951,0.0452,-0.0025,0.1210,0.0061,-0.0001,-0.0081,49.25975831,-122.75405848,0.00000000,
0.4570,-0.0139,0.4754,0.8951,0.0452,-0.0025,0.1210,0.0061,-0.0001,-0.0081,49.25975831,-122.75405848,0.00000000,
0.4600,-0.0149,0.4776,0.8951,0.0452,-0.0025,0.1210,0.0061,-0.0001,-0.0081,49.25975831,-122.75405848,0.00000000,
0.4630,-0.0154,0.4796,0.8951,0.0452,-0.0025,0.1210,0.0061,-0.0001,-0.0081,49.25975831,-122.75405848,0.00000000,
0.4650,-0.0159,0.4798,0.8951,0.0452,-0.0025,0.1210,0.0061,-0.0001,-0.0081,49.25975831,-122.75405848,0.00000000,
0.4660,-0.0159,0.4798,0.8951,0.0224,-0.0108,0.0352,0.0061,-0.0001,-0.0081,49.25975831,-122.75405848,0.00000000,
